day,month,year,t_max,t_min,prec,sol_rad
1,1,2022,32.07706662151515,21.870778288181818,0,18.995552495272726
2,1,2022,31.989523755454545,21.348540476969696,0,18.754082560636363
3,1,2022,32.07708863,21.661484555757575,0,17.695101972545455
4,1,2022,32.44915556545455,21.699101806363636,0,19.687454985151515
5,1,2022,32.065694325757576,21.812431154545454,0,17.283424508030304
6,1,2022,32.04702768818182,21.87287184757576,0,17.174383789727273
7,1,2022,32.24166994848485,22.06147109333333,0,17.665294660969696
8,1,2022,32.22867344,21.816321528181817,0,17.90940893060606
9,1,2022,31.94730834757576,22.29175755969697,0,18.026842912424243
10,1,2022,32.390886963030304,22.006843416363637,0,18.93824250030303
11,1,2022,32.73420194424242,22.068102093636362,0,18.396632412909092
12,1,2022,32.49359345787879,22.20634352939394,0,18.389304413
13,1,2022,32.53586785,22.01374519969697,0,19.190707970757575
14,1,2022,32.67273508939394,22.119188344545453,0,18.664496484242424
15,1,2022,32.58780039969697,22.20747837878788,0,18.95686221727273
16,1,2022,32.688552004242425,22.30662740060606,0,17.804561017151514
17,1,2022,32.38178468939394,22.17962030090909,0,17.529747479121212
18,1,2022,32.70807731484849,21.683137135454544,0,18.48919037709091
19,1,2022,32.48382964939394,22.230280890303032,0,17.40471233030303
20,1,2022,32.44345899060606,22.26480795181818,0,18.009405117666667
21,1,2022,32.784046943030305,21.91365261909091,0,17.485491072121214
22,1,2022,32.73686125515152,22.066296945151514,0,18.506844257333334
23,1,2022,32.88173478484848,21.940973463333332,0,18.57894298478788
24,1,2022,33.01499054878788,22.229996956363635,0,18.272735924909092
25,1,2022,33.07151018848485,22.264060238787877,0,18.78871775030303
26,1,2022,32.85906129757576,22.307770347272726,0,18.184894754454547
27,1,2022,33.29325662909091,22.49613248969697,0,18.557957085151514
28,1,2022,33.50130802818182,22.383950015151516,0,18.230866766333335
29,1,2022,33.31481855787879,22.414399564848484,0,19.07828101881818
30,1,2022,33.274484972121215,22.362347915151513,0,19.630909312303032
31,1,2022,33.30230413666666,22.20332395030303,0,18.145332932878787
1,2,2022,33.2,23.2,0.5,16.10514932
2,2,2022,34,22,0,17.93903891
3,2,2022,34,22.2,0,14.35047352
4,2,2022,34.4,22.2,0,21.77499089
5,2,2022,28.61097964,24.81097964,2.8,18.18106226
6,2,2022,33.61551133,21.2,21.8,21.69579145
7,2,2022,24.4,22.2,0,11.59156248
8,2,2022,33.8,23.1,1.6,17.2279925
9,2,2022,34.6,24.6,0,17.08504225
10,2,2022,33.3,23,0,16.04633548
11,2,2022,34.4,23.6,0,19.88891033
12,2,2022,34.6,22.3,0,15.79327559
13,2,2022,33.09953024,23.4,0,16.27813279
14,2,2022,33.2,23.8,0,17.22401369
15,2,2022,33.8,23.2,0,23.54589522
16,2,2022,34,22.2,20.4,20.04516224
17,2,2022,22.99357034,22,30.3,16.99609012
18,2,2022,34.8,22,0,21.49242145
19,2,2022,34.4,19.93202971,15.5,22.60399573
20,2,2022,34,21.41819266,0,19.08072536
21,2,2022,33.4,22,0,19.10743182
22,2,2022,34.8,24.2,0,18.20385991
23,2,2022,35.3,22,0,20.86565927
24,2,2022,33.5,22.2,0,19.33939992
25,2,2022,30,24,0,9.25688115
26,2,2022,32.8,22.99705399,0,11.60462399
27,2,2022,34.1,21.50629922,0,16.45010493
28,2,2022,33.2,24.2,0,13.66183499
1,3,2022,33.6,22.57331037,4.2,17.52187741
2,3,2022,31,24,3.6,12.30056613
3,3,2022,31.4,22,0,16.07079093
4,3,2022,32,22.8,0,18.23714209
5,3,2022,32,24.79610834,0.7,15.00383122
6,3,2022,30.8,23.5,0,11.72246969
7,3,2022,30.8,22,0,11.5760502
8,3,2022,29.4,23.27930631,0,12.84271559
9,3,2022,34,24.53396229,0,22.91222179
10,3,2022,32.4,21.8,0,14.43484303
11,3,2022,31,23.6,0,15.87885662
12,3,2022,31.2,23.94748217,10.3,10.99057311
13,3,2022,33.2,21.64533941,1.5,16.8230784
14,3,2022,32.3,22.8,31.8,13.20873955
15,3,2022,32.4,21.6,0.2,20.7768211
16,3,2022,32.6,20.29457884,0,10.6996087
17,3,2022,33.4,23.6,0,20.63245339
18,3,2022,32.8,24.8,0,16.3820517
19,3,2022,32.2,23.63584795,0,17.33144238
20,3,2022,33,24.4,0,14.81249731
21,3,2022,33.3,23.2,0,15.60259706
22,3,2022,33,25,0,17.4948263
23,3,2022,33,23.79468731,0,21.9065286
24,3,2022,34.2,24,0,22.21978116
25,3,2022,29,22,7.1,20.79943679
26,3,2022,34.2,23.2,2.1,18.90656664
27,3,2022,34.2,24,0,19.53196918
28,3,2022,35,23.6,0,20.78508304
29,3,2022,35.2,22.2,0,22.97938058
30,3,2022,33.8,24.34360878,0,15.74154601
31,3,2022,32.2,22.20526009,0,17.14895683
1,4,2022,31.2,21.6,15.1,15.41467356
2,4,2022,31,22.37086891,0,12.89762142
3,4,2022,32.8,21.2,3.4,15.08561456
4,4,2022,33,20.15363526,0,17.58286399
5,4,2022,32,22.6,0.9,13.18972656
6,4,2022,33.2,22.2,16.3,19.90463775
7,4,2022,33,23.12483132,0,13.64093773
8,4,2022,32.8,23.4,81.5,15.65977664
9,4,2022,31.4,23,0.2,13.62028216
10,4,2022,31.3,22.3,0,9.871045543
11,4,2022,31.1,22.8,0,11.10798776
12,4,2022,30.4,23,1,14.62444649
13,4,2022,32,23.4,0,16.79374441
14,4,2022,31.6,23.00259401,0,17.11323518
15,4,2022,32.6,21.42724818,0,20.52560449
16,4,2022,29.2,23.8,0,13.47071561
17,4,2022,31.6,23,5,15.07549826
18,4,2022,28,22.3,0.9,11.64910041
19,4,2022,30.8,23.2,10.8,13.65750097
20,4,2022,31.8,23.8,6,16.19995899
21,4,2022,29.2,23.94359536,0,13.10511938
22,4,2022,31.6,24.4,11.7,14.9787439
23,4,2022,33.2,23.4,1.5,17.55320911
24,4,2022,33,22.8,0,16.5463175
25,4,2022,31.8,24.3,113.5,15.86358253
26,4,2022,28.8,22.14218782,28,12.89135587
27,4,2022,30.4,22.8,1.8,14.98584848
28,4,2022,30.8,21.8,6.3,19.78514729
29,4,2022,31.4,22.51982711,0,17.48542197
30,4,2022,30.82850469,24.6,17.5,13.04536714
1,5,2022,31,22.2,35.6,14.48448046
2,5,2022,31.4,22.8,5.8,19.59929824
3,5,2022,31.2,24.6,30.1,20.92721714
4,5,2022,30.2,23.8,17.1,9.151635388
5,5,2022,31,23.6,0.2,13.19759149
6,5,2022,30.6,24.34166694,7.5,11.22734996
7,5,2022,30.4,22.2,10,23.94667916
8,5,2022,30.8,22.6,38.4,9.100916081
9,5,2022,30,22.2,17.2,13.41912195
10,5,2022,29.4,22.6,0,14.29401871
11,5,2022,29.8,23.2,1.8,16.05925243
12,5,2022,31.2,23,0,15.29232663
13,5,2022,31.6,22.2,11.1,23.87597541
14,5,2022,28.6,23,0,13.61791408
15,5,2022,30.4,22.4,0,10.93592024
16,5,2022,31.6,22,8.6,16.08960369
17,5,2022,29,22,9.1,11.05311158
18,5,2022,29.6,22.4,14.1,16.33832133
19,5,2022,29.4,22.4,1.6,17.19752238
20,5,2022,29.6,22.6,2,18.49483253
21,5,2022,31.8,22,2.3,8.941929711
22,5,2022,30,22,30.4,14.63902977
23,5,2022,26,22.2,108.2,10.67359096
24,5,2022,29.2,21.6,22.9,12.11996694
25,5,2022,28.2,21.8,3.7,11.95929231
26,5,2022,30.6,23.2,12.3,19.07797092
27,5,2022,27,21.8,11.7,9.7501365
28,5,2022,29.2,20.6,0,22.22677478
29,5,2022,29,22,0.5,12.91925107
30,5,2022,29.6,22.2,8.3,18.84437214
31,5,2022,30,22.4,36.2,11.73412501
1,6,2022,29.6,21.2,6,16.05830894
2,6,2022,29,21.8,7.5,17.91929111
3,6,2022,29.8,21.4,51.4,16.45971954
4,6,2022,25.6,21.2,32.5,9.239947941
5,6,2022,27,21,65,14.55874304
6,6,2022,27.6,21.2,0.1,14.115195
7,6,2022,29.8,21.2,8.4,17.40951389
8,6,2022,30,22.2,5.9,8.780544256
9,6,2022,27.4,21.2,29.3,11.35753154
10,6,2022,30.8,20.8,0,22.96503789
11,6,2022,30.4,20.8,2,18.93838099
12,6,2022,27,22.4,29.8,12.33972707
13,6,2022,31.2,21.4,7.9,16.62756482
