year,month,58504f4f006cb93ed40eebfd,58504f4f006cb93ed40eebfe,58504f4f006cb93ed40eebff,58504f4f006cb93ed40eec00,58504f4f006cb93ed40eec02,58504f4f006cb93ed40eec07,58504f4f006cb93ed40eec0d,58504f4f006cb93ed40eec11,58504f4f006cb93ed40eec16,58504f4f006cb93ed40eec01,58504f4f006cb93ed40eec03,58504f4f006cb93ed40eec15,58504f4f006cb93ed40eec04,58504f4f006cb93ed40eec05,58504f4f006cb93ed40eec06,58504f4f006cb93ed40eec10,58504f4f006cb93ed40eec08,58504f4f006cb93ed40eec09,58504f4f006cb93ed40eec0a,58504f4f006cb93ed40eec0c,58504f4f006cb93ed40eec0b,58504f4f006cb93ed40eec12,58504f4f006cb93ed40eec0e,58504f4f006cb93ed40eec0f,58504f4f006cb93ed40eec13,58504f4f006cb93ed40eec14,58504f4f006cb93ed40eec17,58504f4f006cb93ed40eec18,58504f4f006cb93ed40eec19,58504f4f006cb93ed40eec1c,58504f4f006cb93ed40eec1d,58504f4f006cb93ed40eec1a,58504f4f006cb93ed40eec1b,58504f4f006cb93ed40eec1e
1981,1,23.9,64,67,54,66,46,65,57.5,28,39,10,52.3,12,24,47,9.243946352,66,33,27,22,0,0,33.2,44.4,13.6,3.8,70,11,17.8,25,33.3,15,81,35.8
1981,2,43.5,35,102,115,61.1,67,28,39.4,22,52,10,7,14.7,72,21,17.98275429,48,62,56,8,24,15,59.1,41,3.3,11.4,85,38,91.4,60,88.2,48.54462037,15,107.4
1981,3,14.9,133,33,35,26,91,76,19.9,97,46,0,6.6,48.7,25,48,28.56440791,17,42,13,30,79,5,22.8,16.2,11.7,71.1,58.24956307,21,98.4,177,41.9,65,38,40.2
1981,4,202.3,147,149,134,127.6,166,59,186.3,109,223,85,82.6,144,97,89,74.9,58,137,39,49,106,107,83.6,70.5,85,68,208.394503,98,228.9,403,281.4581368,218,253,174.8
1981,5,312,234,225,340,255.6,527,360,369.3,418,343,365,257.5,281,478,395,368.6,307,293,354.7,394,431,144,222.1,243.7,215.7,207.7,369.0593181,184,471,894,444.7776064,318,431,236.8
1981,6,118.6,258,91,113,114.6,168,143,100.1,112,104,138,207.1,239,149,206,143.4,171.0373109,196,108,73,152,87,169.9,158.7,215.1,261.4,239.2083974,178.1023244,429,684,360.9,170,205,252.8
1981,7,175.6,155.8761313,84,146,129,249.5,211,246.9,141.4,183,217,251.7,193,246,216,190.2,219.0596459,147,196,240,150,228.5,216.6,146.9,194.3,117.8,295.9090129,202,474,553,354.8,294,278,408.3
1981,8,208.6,237.6701433,367,243,389,273,365.2,199.6,182.2,194,332,288.4,293.4827676,266,181,183.3,295.3184737,281,254,214,232,167,275.1,198.4,345.5,300.8,271.7877928,190,492,356,438.4,283,378,351.8
1981,9,367,251,338,313,260.8,253,373.5,199.4,285.9,277,223,207.5,99,230,263,258.7,314,104,220,183,340,321,113.9,203.4,168.9,89.4,324.2583167,74,109,382,287.1,293,236,404.2
1981,10,201,81,108,60,116,57,150,119.6,83.1,134,307,295.8,176,127,75,89.5,84,116,155,149,95,152.5,168.4,125.4,226,166.6,195.1842233,222,444,522,266.2,310,128,255.9405315
