"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",1,"WEREDA 01","Woreda","District",NA,NA
2,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",2,"WEREDA 02","Woreda","District",NA,NA
3,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",3,"WEREDA 03","Woreda","District",NA,NA
4,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",4,"WEREDA 04","Woreda","District",NA,NA
5,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",5,"WEREDA 07","Woreda","District",NA,NA
6,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",6,"WEREDA 09","Woreda","District",NA,NA
7,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",7,"WEREDA 13","Woreda","District",NA,NA
8,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",8,"WEREDA 14","Woreda","District",NA,NA
9,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",9,"WEREDA 18","Woreda","District",NA,NA
10,74,"ETH","Ethiopia",1,"Addis Ababa",1,"Unknown",10,"WEREDA 22","Woreda","District",NA,NA
11,74,"ETH","Ethiopia",1,"Addis Ababa",2,"Zone 1",11,"WEREDA 05","Woreda","District",NA,"Woreda 5"
12,74,"ETH","Ethiopia",1,"Addis Ababa",2,"Zone 1",12,"WEREDA 06","Woreda","District",NA,"Woreda 6"
13,74,"ETH","Ethiopia",1,"Addis Ababa",3,"Zone 2",13,"WEREDA 20","Woreda","District",NA,"Woreda 20"
14,74,"ETH","Ethiopia",1,"Addis Ababa",3,"Zone 2",14,"WEREDA 21","Woreda","District",NA,"Woreda 21"
15,74,"ETH","Ethiopia",1,"Addis Ababa",3,"Zone 2",15,"WEREDA 23","Woreda","District",NA,"Woreda 23"
16,74,"ETH","Ethiopia",1,"Addis Ababa",3,"Zone 2",16,"WEREDA 24","Woreda","District",NA,"Woreda 24"
17,74,"ETH","Ethiopia",1,"Addis Ababa",4,"Zone 3",17,"WEREDA 17","Woreda","District",NA,"Woreda 17"
18,74,"ETH","Ethiopia",1,"Addis Ababa",4,"Zone 3",18,"WEREDA 19","Woreda","District",NA,"Woreda 19"
19,74,"ETH","Ethiopia",1,"Addis Ababa",4,"Zone 3",19,"WEREDA 28","Woreda","District",NA,"Woreda 28"
20,74,"ETH","Ethiopia",1,"Addis Ababa",5,"Zone 4",20,"WEREDA 11","Woreda","District",NA,"Woreda 11"
21,74,"ETH","Ethiopia",1,"Addis Ababa",5,"Zone 4",21,"WEREDA 12","Woreda","District",NA,"Woreda 12"
22,74,"ETH","Ethiopia",1,"Addis Ababa",5,"Zone 4",22,"WEREDA 15","Woreda","District",NA,"Woreda 15"
23,74,"ETH","Ethiopia",1,"Addis Ababa",5,"Zone 4",23,"WEREDA 16","Woreda","District",NA,"Woreda 16"
24,74,"ETH","Ethiopia",1,"Addis Ababa",6,"Zone 5",24,"WEREDA 08","Woreda","District",NA,"Woreda 8"
25,74,"ETH","Ethiopia",1,"Addis Ababa",6,"Zone 5",25,"WEREDA 10","Woreda","District",NA,"Woreda 10"
26,74,"ETH","Ethiopia",1,"Addis Ababa",6,"Zone 5",26,"WEREDA 25","Woreda","District",NA,"Woreda 25"
27,74,"ETH","Ethiopia",1,"Addis Ababa",7,"Zone 6",27,"WEREDA 26","Woreda","District",NA,"Woreda 26"
28,74,"ETH","Ethiopia",1,"Addis Ababa",7,"Zone 6",28,"WEREDA 27","Woreda","District",NA,"Woreda 27"
29,74,"ETH","Ethiopia",2,"Afar",8,"Zone 1",29,"Afambo","Woreda","District",NA,NA
30,74,"ETH","Ethiopia",2,"Afar",8,"Zone 1",30,"Aysaita","Woreda","District",NA,"Asayita"
31,74,"ETH","Ethiopia",2,"Afar",8,"Zone 1",31,"Chifra","Woreda","District",NA,NA
32,74,"ETH","Ethiopia",2,"Afar",8,"Zone 1",32,"Dubti","Woreda","District",NA,NA
33,74,"ETH","Ethiopia",2,"Afar",8,"Zone 1",33,"Elidar","Woreda","District",NA,NA
34,74,"ETH","Ethiopia",2,"Afar",8,"Zone 1",34,"Mille","Woreda","District",NA,"Mile"
35,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",35,"Abala","Woreda","District",NA,"Ab-Ala"
36,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",36,"Afdera","Woreda","District",NA,NA
37,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",37,"Berahle","Woreda","District",NA,"Berahile"
38,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",38,"Dallol","Woreda","District",NA,"Dalol"
39,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",39,"Erebti","Woreda","District",NA,"Erabti"
40,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",40,"Koneba","Woreda","District",NA,"Kuneba"
41,74,"ETH","Ethiopia",2,"Afar",9,"Zone 2",41,"Megale","Woreda","District",NA,NA
42,74,"ETH","Ethiopia",2,"Afar",10,"Zone 3",42,"Amibara","Woreda","District",NA,NA
43,74,"ETH","Ethiopia",2,"Afar",10,"Zone 3",43,"Argoba Special","Woreda","District",NA,"Argoba Sp. Woreda"
44,74,"ETH","Ethiopia",2,"Afar",10,"Zone 3",44,"Awash Fentale","Woreda","District",NA,NA
45,74,"ETH","Ethiopia",2,"Afar",10,"Zone 3",45,"Bure Mudaytu","Woreda","District",NA,"Bure Mudayitu|Bure Modayito"
46,74,"ETH","Ethiopia",2,"Afar",10,"Zone 3",46,"Dulecha","Woreda","District",NA,NA
47,74,"ETH","Ethiopia",2,"Afar",10,"Zone 3",47,"Gewane","Woreda","District",NA,NA
48,74,"ETH","Ethiopia",2,"Afar",11,"Zone 4",48,"Ewa","Woreda","District",NA,NA
49,74,"ETH","Ethiopia",2,"Afar",11,"Zone 4",49,"Gulina","Woreda","District",NA,"Golina"
50,74,"ETH","Ethiopia",2,"Afar",11,"Zone 4",50,"Habru","Woreda","District",NA,"Awura"
51,74,"ETH","Ethiopia",2,"Afar",11,"Zone 4",51,"Teru","Woreda","District",NA,NA
52,74,"ETH","Ethiopia",2,"Afar",11,"Zone 4",52,"Yalo","Woreda","District",NA,NA
53,74,"ETH","Ethiopia",2,"Afar",12,"Zone 5",53,"Artuma","Woreda","District",NA,NA
54,74,"ETH","Ethiopia",2,"Afar",12,"Zone 5",54,"Dewe","Woreda","District",NA,"Dawe"
55,74,"ETH","Ethiopia",2,"Afar",12,"Zone 5",55,"Fursi","Woreda","District",NA,"Furisa"
56,74,"ETH","Ethiopia",2,"Afar",12,"Zone 5",56,"Simurobi Gele'alo","Woreda","District",NA,"Semurobina Gela-alo"
57,74,"ETH","Ethiopia",2,"Afar",12,"Zone 5",57,"Telalak","Woreda","District",NA,NA
58,74,"ETH","Ethiopia",3,"Amhara",13,"Awi",58,"Ankesha","Woreda","District",NA,"Ankasha"
59,74,"ETH","Ethiopia",3,"Amhara",13,"Awi",59,"Banja","Woreda","District",NA,NA
60,74,"ETH","Ethiopia",3,"Amhara",13,"Awi",60,"Dangila","Woreda","District",NA,"Dangla"
61,74,"ETH","Ethiopia",3,"Amhara",13,"Awi",61,"Fagta Lakoma","Woreda","District",NA,"Faggeta Lekoma"
62,74,"ETH","Ethiopia",3,"Amhara",13,"Awi",62,"Guangua","Woreda","District",NA,NA
63,74,"ETH","Ethiopia",3,"Amhara",14,"Bar Dar Sp. Zone",63,"Bahir Dar","Woreda","District",NA,"Bahir Dar Town SP. Zone"
64,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",64,"Awabel","Woreda","District",NA,NA
65,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",65,"Baso Liben","Woreda","District",NA,NA
66,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",66,"Bibugn","Woreda","District",NA,NA
67,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",67,"Debay Telatgen","Woreda","District",NA,"Debay Telatgin"
68,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",68,"Debre Marqos","Woreda","District",NA,"Debre Markos Town"
69,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",69,"Dejen","Woreda","District",NA,NA
70,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",70,"Enarj Enawga","Woreda","District",NA,NA
71,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",71,"Enbise Sar Midir","Woreda","District",NA,"Enebse Sar Midir"
72,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",72,"Enemay","Woreda","District",NA,NA
73,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",73,"Goncha Siso Enese","Woreda","District",NA,NA
74,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",74,"Guzamn","Woreda","District",NA,"Gozamin"
75,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",75,"Hulet Ej Enese","Woreda","District",NA,"Hulet Ej Enesie"
76,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",76,"Machakel","Woreda","District",NA,"Mechakel"
77,74,"ETH","Ethiopia",3,"Amhara",15,"East Gojam",77,"Shebel Berenta","Woreda","District",NA,NA
78,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",78,"Addi Arkay","Woreda","District",NA,NA
79,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",79,"Alefa","Woreda","District",NA,NA
80,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",80,"Belesa","Woreda","District",NA,NA
81,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",81,"Beyeda","Woreda","District",NA,NA
82,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",82,"Chilga","Woreda","District",NA,NA
83,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",83,"Dabat","Woreda","District",NA,NA
84,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",84,"Debarq","Woreda","District",NA,"Debark"
85,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",85,"Dembia","Woreda","District",NA,"Dembiya"
86,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",86,"Gonder Zuria","Woreda","District",NA,"Gonder Zuriya"
87,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",87,"Gonder","Woreda","District",NA,"Gonder Town"
88,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",88,"Janamora","Woreda","District",NA,NA
89,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",89,"Lay Armacheho","Woreda","District",NA,"Lay Armachiho"
90,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",90,"Metema","Woreda","District",NA,NA
91,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",91,"Quara","Woreda","District",NA,NA
92,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",92,"Sanja","Woreda","District",NA,NA
93,74,"ETH","Ethiopia",3,"Amhara",16,"North Gonder",93,"Wegera","Woreda","District",NA,NA
94,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",94,"Angolela Tera","Woreda","District",NA,"Angolala Tera"
95,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",95,"Ankober","Woreda","District",NA,NA
96,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",96,"Antsokia Gemza","Woreda","District",NA,"Antsokiyana Gemza"
97,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",97,"Asagirt","Woreda","District",NA,NA
98,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",98,"Berehet","Woreda","District",NA,NA
99,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",99,"Debre Berhan Zuria","Woreda","District",NA,"Basona Worana|Baso & Werana"
100,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",100,"Debre Berhan","Woreda","District",NA,"Debre Berhan Town"
101,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",101,"Efratana Gidim","Woreda","District",NA,NA
102,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",102,"Gera Midirna Keya Gabriel","Woreda","District",NA,"Gera Keya"
103,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",103,"Gishe Rabel","Woreda","District",NA,"Gishie|Gishe"
104,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",104,"Hagere Mariamna Kesem","Woreda","District",NA,"Hagere Mariam"
105,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",105,"Kewet","Woreda","District",NA,NA
106,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",106,"Lay Betna Tach Bet","Woreda","District",NA,"Merhabete"
107,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",107,"Mama Midirna Lalo","Woreda","District",NA,"Lalo Midir|Mama Midir"
108,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",108,"Minjarna Shenkora","Woreda","District",NA,NA
109,74,"ETH","Ethiopia",3,"Amhara",17,"North Shewa (K3)",109,"Mojana Wadera","Woreda","District",NA,NA
